id;titre;date_debut;date_fin;description;etat;poids;categorie;position;liste_id
1;Chips;2020-04-22;2020-04-22;calculating neural withdrawal;false;98463;Shoes silver program;76472;1
2;Polarised;2020-04-23;2020-04-22;Senior Grocery;true;14459;Virtual;45281;2
3;Germany wireless;2020-04-22;2020-04-22;Functionality Vermont;false;33991;California interface;98234;3
4;Rubber USB;2020-04-22;2020-04-22;Buckinghamshire;false;16060;North Dakota Shoes;61269;4
5;Square embrace;2020-04-22;2020-04-23;Sleek Fresh Chips portals;true;54273;transmitter magenta Facilitator;76029;5
6;Investment Account cross-platform bluetooth;2020-04-23;2020-04-23;Producer;true;93366;Strategist Incredible Legacy;64829;6
7;deploy GB Associate;2020-04-23;2020-04-23;Alley;false;4506;cross-media;19367;7
8;Wisconsin Intelligent Buckinghamshire;2020-04-22;2020-04-22;withdrawal Freeway Handmade;false;2505;collaboration Licensed overriding;95252;8
9;Uruguay;2020-04-22;2020-04-22;XML orange deposit;true;88003;invoice;1407;9
10;Cocos (Keeling) Islands Small Wooden Shirt;2020-04-22;2020-04-23;transmitting;true;41882;parse bypass;54860;10
