id;nom;contenu
1;input Electronics connecting;Computer redundant primary
2;Small Metal Shoes Saint Helena Pound;Passage dynamic
3;Shirt HDD process improvement;copying driver
4;payment open architecture;real-time connecting explicit
5;1080p Intelligent Soft Sausages synthesizing;object-oriented Handmade Plastic Computer Officer
6;Inverse;indexing
7;Soft Buckinghamshire;Vision-oriented Lithuanian Litas Enterprise-wide
8;Sleek Platinum;Operative Orchestrator supply-chains
9;ADP;synergistic applications Incredible
10;plum;Granite Concrete Analyst
